[performance_estimation] ,0,0.890205,1.000000,0.000000,0.000000,-1.#IND00 
[performance_estimation] ,64,0.890234,0.995849,0.693274,0.614615,0.614615 
[performance_estimation] ,128,0.890581,0.988724,0.790242,0.695839,0.655227 
[performance_estimation] ,192,0.891280,0.978710,0.766130,0.668299,0.659584 
[performance_estimation] ,256,0.892158,0.965618,0.770298,0.663600,0.660588 
[performance_estimation] ,320,0.893166,0.950160,0.777824,0.660101,0.660491 
[performance_estimation] ,384,0.894594,0.941945,0.801820,0.675660,0.663019 
[performance_estimation] ,448,0.896183,0.936797,0.865240,0.726405,0.672074 
[performance_estimation] ,512,0.897943,0.935603,0.850275,0.714332,0.677356 
[performance_estimation] ,576,0.899782,0.938837,0.804570,0.679659,0.677612 
[performance_estimation] ,640,0.901386,0.945800,0.845702,0.720987,0.681950 
[performance_estimation] ,704,0.902945,0.943263,0.862374,0.734497,0.686727 
[performance_estimation] ,768,0.904638,0.948330,0.842315,0.722618,0.689718 
[performance_estimation] ,832,0.905813,0.954105,0.786450,0.679682,0.688946 
[performance_estimation] ,896,0.907055,0.959748,0.841591,0.732642,0.692067 
[performance_estimation] ,960,0.908003,0.966598,0.829434,0.727973,0.694461 
[performance_estimation] ,1024,0.908681,0.976243,0.772701,0.685458,0.693898 
[performance_estimation] ,1088,0.909275,0.980892,0.844428,0.753146,0.697383 
[performance_estimation] ,1152,0.909902,0.986458,0.785234,0.704811,0.697796 
[performance_estimation] ,1216,0.910306,0.989853,0.832966,0.750560,0.700573 
[performance_estimation] ,1280,0.910510,0.993831,0.812009,0.734781,0.702283 
[performance_estimation] ,1344,0.910849,0.995445,0.679207,0.615837,0.698167 
[performance_estimation] ,1408,0.911043,0.996471,0.827032,0.750802,0.700559 
[performance_estimation] ,1472,0.911307,0.996283,0.793021,0.719999,0.701405 
[performance_estimation] ,1536,0.911296,0.998071,0.795365,0.723415,0.702322 
[performance_estimation] ,1600,0.911431,0.999706,0.778751,0.709569,0.702611 
[performance_estimation] ,1664,0.911394,0.997618,0.795278,0.723086,0.703399 
[performance_estimation] ,1728,0.911318,0.997817,0.842518,0.766126,0.705722 
[performance_estimation] ,1792,0.911194,0.999464,0.768591,0.699959,0.705516 
[performance_estimation] ,1856,0.911273,0.999054,0.813167,0.740316,0.706716 
[performance_estimation] ,1920,0.911135,0.996529,0.824369,0.748504,0.708109 
[performance_estimation] ,1984,0.911197,0.996358,0.874966,0.794362,0.710892 
[performance_estimation] ,2048,0.911273,0.997898,0.843415,0.766966,0.712644 
[performance_estimation] ,2112,0.911280,0.996776,0.836121,0.759484,0.714063 
[performance_estimation] ,2176,0.911167,0.997872,0.837105,0.761119,0.715447 
[performance_estimation] ,2240,0.911316,0.997847,0.773338,0.703238,0.715098 
[performance_estimation] ,2304,0.911359,0.996600,0.785871,0.713776,0.715062 
[performance_estimation] ,2368,0.911317,0.998703,0.840115,0.764618,0.716401 
[performance_estimation] ,2432,0.911229,0.998645,0.794034,0.722566,0.716563 
[performance_estimation] ,2496,0.911508,0.997781,0.829318,0.754253,0.717530 
[performance_estimation] ,2560,0.911508,0.997703,0.815164,0.741322,0.718125 
[performance_estimation] ,2624,0.911220,0.998326,0.874039,0.795109,0.720002 
[performance_estimation] ,2688,0.911167,0.999222,0.754552,0.686988,0.719216 
[performance_estimation] ,2752,0.911223,0.999068,0.901740,0.820921,0.721581 
[performance_estimation] ,2816,0.911414,0.997167,0.798607,0.725800,0.721677 
[performance_estimation] ,2880,0.911488,0.995896,0.817451,0.742038,0.722130 
[performance_estimation] ,2944,0.911324,0.996927,0.749429,0.680873,0.721233 
[performance_estimation] ,3008,0.911004,0.997642,0.812385,0.738341,0.721597 
[performance_estimation] ,3072,0.910748,0.997038,0.812819,0.738081,0.721940 
[performance_estimation] ,3136,0.910662,0.994585,0.773251,0.700357,0.721500 
[performance_estimation] ,3200,0.910698,0.996828,0.852562,0.773963,0.722549 
[performance_estimation] ,3264,0.910553,0.998681,0.806683,0.733559,0.722765 
[performance_estimation] ,3328,0.910529,0.998017,0.876615,0.796601,0.724185 
[performance_estimation] ,3392,0.910670,0.996824,0.835281,0.758250,0.724828 
[performance_estimation] ,3456,0.910842,0.995046,0.883215,0.800484,0.726229 
[performance_estimation] ,3520,0.910943,0.992978,0.839970,0.759792,0.726839 
[performance_estimation] ,3584,0.910923,0.997680,0.744132,0.676275,0.725936 
[performance_estimation] ,3648,0.910879,0.996344,0.770733,0.699477,0.725472 
[performance_estimation] ,3712,0.910687,0.992592,0.835368,0.755123,0.725983 
[performance_estimation] ,3776,0.910899,0.993528,0.774235,0.700685,0.725554 
[performance_estimation] ,3840,0.910753,0.998101,0.825353,0.750265,0.725966 
[performance_estimation] ,3904,0.910497,0.997692,0.723696,0.657403,0.724842 
[performance_estimation] ,3968,0.910636,0.995041,0.839189,0.760406,0.725416 
[performance_estimation] ,4032,0.911003,0.994756,0.894880,0.810963,0.726774 
[performance_estimation] ,4096,0.911383,0.996040,0.809896,0.735203,0.726905 
[performance_estimation] ,4160,0.911754,0.995271,0.819332,0.743496,0.727161 
[performance_estimation] ,4224,0.911856,0.995181,0.817364,0.741726,0.727381 
[performance_estimation] ,4288,0.912120,0.995324,0.788245,0.715612,0.727206 
[performance_estimation] ,4352,0.912393,0.992610,0.818290,0.741085,0.727410 
[performance_estimation] ,4416,0.912575,0.989046,0.671449,0.606036,0.725651 
[performance_estimation] ,4480,0.912587,0.974133,0.576364,0.512377,0.722604 
[performance_estimation] ,4544,0.912580,0.943871,0.595844,0.513235,0.719655 
[performance_estimation] ,4608,0.912741,0.954708,0.641317,0.558844,0.717421 
[performance_estimation] ,4672,0.912115,0.935857,0.554452,0.473285,0.714077 
[performance_estimation] ,4736,0.912672,0.952902,0.711394,0.618691,0.712788 
[performance_estimation] ,4800,0.912215,0.933466,0.570430,0.485733,0.709761 
[performance_estimation] ,4864,0.911240,0.925434,0.439856,0.370928,0.705302 
[performance_estimation] ,4928,0.911912,0.948378,0.695648,0.601623,0.703956 
[performance_estimation] ,4992,0.912094,0.969841,0.614919,0.543949,0.701905 
[performance_estimation] ,5056,0.912140,0.974048,0.610432,0.542350,0.699885 
[performance_estimation] ,5120,0.912318,0.976645,0.620100,0.552516,0.698043 
[performance_estimation] ,5184,0.912418,0.968150,0.560328,0.494970,0.695536 
[performance_estimation] ,5248,0.912090,0.955373,0.693072,0.603933,0.694419 
[performance_estimation] ,5312,0.911605,0.953859,0.673070,0.585263,0.693103 
[performance_estimation] ,5376,0.910893,0.918873,0.534450,0.447333,0.690178 
[performance_estimation] ,5440,0.910251,0.926360,0.676891,0.570768,0.688773 
[performance_estimation] ,5504,0.909704,0.897395,0.602154,0.491576,0.686480 
[performance_estimation] ,5568,0.909234,0.878192,0.622155,0.496780,0.684299 
[performance_estimation] ,5632,0.908616,0.840769,0.583571,0.445811,0.681589 
[performance_estimation] ,5696,0.908298,0.836874,0.644820,0.490148,0.679438 
[performance_estimation] ,5760,0.908081,0.833315,0.648062,0.490400,0.677338 
[performance_estimation] ,5824,0.907787,0.830856,0.694172,0.523572,0.675648 
[performance_estimation] ,5888,0.907345,0.807858,0.668960,0.490352,0.673634 
[performance_estimation] ,5952,0.906943,0.853983,0.607017,0.470143,0.671446 
[performance_estimation] ,6016,0.906736,0.890447,0.642388,0.518665,0.669821 
[performance_estimation] ,6080,0.906792,0.891084,0.778722,0.629229,0.669393 
[performance_estimation] ,6144,0.906560,0.921333,0.668092,0.558020,0.668233 
[performance_estimation] ,6208,0.906556,0.942777,0.692985,0.592281,0.667450 
[performance_estimation] ,6272,0.906676,0.953669,0.792673,0.685400,0.667633 
[performance_estimation] ,6336,0.906986,0.961450,0.821243,0.716141,0.668123 
[performance_estimation] ,6400,0.907249,0.969001,0.772064,0.678741,0.668229 
[performance_estimation] ,6464,0.907688,0.975814,0.793947,0.703226,0.668576 
[performance_estimation] ,6528,0.908293,0.981555,0.804859,0.717564,0.669056 
[performance_estimation] ,6592,0.908828,0.985502,0.836352,0.749080,0.669833 
[performance_estimation] ,6656,0.909243,0.987118,0.854501,0.766941,0.670767 
[performance_estimation] ,6720,0.909911,0.986755,0.892507,0.801345,0.672010 
[performance_estimation] ,6784,0.910663,0.989985,0.816148,0.735792,0.672612 
[performance_estimation] ,6848,0.911389,0.991456,0.852388,0.770220,0.673524 
[performance_estimation] ,6912,0.912089,0.992285,0.846483,0.766111,0.674382 
[performance_estimation] ,6976,0.912723,0.990979,0.880523,0.796424,0.675501 
[performance_estimation] ,7040,0.913297,0.990750,0.911119,0.824424,0.676855 
[performance_estimation] ,7104,0.913944,0.991000,0.860956,0.779783,0.677782 
[performance_estimation] ,7168,0.914477,0.990141,0.893809,0.809309,0.678957 
[performance_estimation] ,7232,0.915255,0.991085,0.851230,0.772148,0.679782 
[performance_estimation] ,7296,0.915726,0.992829,0.857251,0.779378,0.680655 
[performance_estimation] ,7360,0.916439,0.992367,0.855977,0.778463,0.681506 
[performance_estimation] ,7424,0.917129,0.993093,0.834210,0.759793,0.682181 
[performance_estimation] ,7488,0.917901,0.993485,0.864921,0.788740,0.683091 
[performance_estimation] ,7552,0.918796,0.992974,0.835542,0.762299,0.683763 
[performance_estimation] ,7616,0.919621,0.992656,0.841302,0.767996,0.684471 
[performance_estimation] ,7680,0.920214,0.991714,0.836960,0.763801,0.685132 
[performance_estimation] ,7744,0.921058,0.990943,0.822777,0.750961,0.685676 
[performance_estimation] ,7808,0.921804,0.992243,0.859538,0.786179,0.686499 
[performance_estimation] ,7872,0.922467,0.992824,0.747779,0.684852,0.686486 
[performance_estimation] ,7936,0.923237,0.993621,0.788013,0.722882,0.686780 
[performance_estimation] ,8000,0.924112,0.996506,0.713826,0.657350,0.686544 
[performance_estimation] ,8064,0.924833,0.989626,0.661897,0.605795,0.685903 
[performance_estimation] ,8128,0.925712,0.978818,0.526317,0.476898,0.684258 
[performance_estimation] ,8192,0.926811,0.945711,0.535811,0.469635,0.682581 
[performance_estimation] ,8256,0.927807,0.924591,0.523596,0.449162,0.680771 
[performance_estimation] ,8320,0.928367,0.886795,0.507473,0.417788,0.678748 
[performance_estimation] ,8384,0.928674,0.834796,0.481538,0.373314,0.676417 
[performance_estimation] ,8448,0.928753,0.857786,0.519775,0.414090,0.674430 
[performance_estimation] ,8512,0.928888,0.871013,0.558041,0.451496,0.672753 
[performance_estimation] ,8576,0.928903,0.839629,0.561196,0.437696,0.670999 
[performance_estimation] ,8640,0.929287,0.835254,0.414645,0.321844,0.668413 
[performance_estimation] ,8704,0.929471,0.806915,0.474707,0.356032,0.666116 
[performance_estimation] ,8768,0.928881,0.783629,0.556507,0.405080,0.664211 
[performance_estimation] ,8832,0.928714,0.768611,0.493608,0.352347,0.661951 
[performance_estimation] ,8896,0.928076,0.770144,0.558186,0.398964,0.660059 
[performance_estimation] ,8960,0.927786,0.771891,0.460813,0.330011,0.657701 
[performance_estimation] ,9024,0.926995,0.780663,0.372818,0.269798,0.654950 
[performance_estimation] ,9088,0.926413,0.830381,0.388217,0.298647,0.652441 
[performance_estimation] ,9152,0.925407,0.833982,0.389665,0.300732,0.649982 
[performance_estimation] ,9216,0.924141,0.816724,0.279643,0.211066,0.646934 
[performance_estimation] ,9280,0.922840,0.833286,0.416179,0.320037,0.644679 
[performance_estimation] ,9344,0.921236,0.790474,0.318155,0.231685,0.641850 
[performance_estimation] ,9408,0.919447,0.793125,0.442259,0.322511,0.639678 
[performance_estimation] ,9472,0.917939,0.794170,0.225544,0.164421,0.636467 
[performance_estimation] ,9536,0.915539,0.775901,0.425774,0.302456,0.634225 
[performance_estimation] ,9600,0.913746,0.749701,0.302220,0.207032,0.631377 
[performance_estimation] ,9664,0.911488,0.765848,0.350704,0.244813,0.628817 
[performance_estimation] ,9728,0.909603,0.828794,0.291424,0.219697,0.626126 
[performance_estimation] ,9792,0.907436,0.840776,0.388058,0.296069,0.623968 
[performance_estimation] ,9856,0.905379,0.840611,0.398493,0.303282,0.621886 
[performance_estimation] ,9920,0.903554,0.854026,0.479179,0.369762,0.620259 
[performance_estimation] ,9984,0.901860,0.842499,0.507661,0.385729,0.618756 
[performance_estimation] ,10048,0.900390,0.820061,0.528661,0.390350,0.617301 
[performance_estimation] ,10112,0.898938,0.796967,0.511482,0.366438,0.615713 
[performance_estimation] ,10176,0.897216,0.773319,0.586104,0.406659,0.614399 
[performance_estimation] ,10240,0.895643,0.805582,0.550066,0.396881,0.613039 
[performance_estimation] ,10304,0.894083,0.800865,0.552672,0.395734,0.611689 
[performance_estimation] ,10368,0.892899,0.783362,0.456384,0.319224,0.609884 
[performance_estimation] ,10432,0.891461,0.731020,0.417612,0.272148,0.607812 
[performance_estimation] ,10496,0.890199,0.747615,0.419493,0.279184,0.605808 
[performance_estimation] ,10560,0.888682,0.792382,0.488181,0.343765,0.604220 
[performance_estimation] ,10624,0.886954,0.786667,0.542497,0.378521,0.602860 
[performance_estimation] ,10688,0.885530,0.802018,0.522496,0.371082,0.601472 
[performance_estimation] ,10752,0.884172,0.776206,0.515925,0.354079,0.600000 
[performance_estimation] ,10816,0.882900,0.823609,0.506822,0.368543,0.598630 
[performance_estimation] ,10880,0.881729,0.839091,0.552266,0.408595,0.597512 
[performance_estimation] ,10944,0.880580,0.830763,0.624587,0.456919,0.596690 
[performance_estimation] ,11008,0.879603,0.850526,0.587276,0.439356,0.595776 
[performance_estimation] ,11072,0.878732,0.852641,0.634023,0.475037,0.595078 
[performance_estimation] ,11136,0.877916,0.830083,0.630810,0.459698,0.594300 
[performance_estimation] ,11200,0.877120,0.837732,0.627539,0.461110,0.593539 
[performance_estimation] ,11264,0.876583,0.828613,0.598015,0.434366,0.592634 
[performance_estimation] ,11328,0.876223,0.852956,0.656644,0.490762,0.592059 
[performance_estimation] ,11392,0.875971,0.838885,0.700873,0.515028,0.591626 
[performance_estimation] ,11456,0.875685,0.844563,0.669713,0.495300,0.591088 
[performance_estimation] ,11520,0.875595,0.844917,0.717864,0.531079,0.590754 
[performance_estimation] ,11584,0.875549,0.838117,0.684576,0.502351,0.590266 
[performance_estimation] ,11648,0.875495,0.832939,0.731019,0.533084,0.589952 
[performance_estimation] ,11712,0.875579,0.849205,0.618884,0.460169,0.589243 
[performance_estimation] ,11776,0.875813,0.838296,0.629623,0.462263,0.588552 
[performance_estimation] ,11840,0.875916,0.835645,0.613718,0.449213,0.587799 
[performance_estimation] ,11904,0.876026,0.873488,0.614224,0.470003,0.587166 
[performance_estimation] ,11968,0.876387,0.867030,0.718472,0.545933,0.586945 
[performance_estimation] ,12032,0.876634,0.898936,0.648467,0.511016,0.586542 
[performance_estimation] ,12096,0.877123,0.894530,0.748821,0.587534,0.586547 
[performance_estimation] ,12160,0.877600,0.920687,0.668266,0.539955,0.586302 
[performance_estimation] ,12224,0.878132,0.932221,0.716257,0.586337,0.586302 
[performance_estimation] ,12288,0.878865,0.934040,0.724101,0.594411,0.586344 
[performance_estimation] ,12352,0.879842,0.936583,0.731396,0.602703,0.586429 
[performance_estimation] ,12416,0.880975,0.934491,0.757736,0.623816,0.586621 
[performance_estimation] ,12480,0.882266,0.936792,0.785220,0.648984,0.586941 
[performance_estimation] ,12544,0.883479,0.942037,0.771818,0.642361,0.587224 
[performance_estimation] ,12608,0.884798,0.944002,0.809737,0.676334,0.587676 
[performance_estimation] ,12672,0.886095,0.948798,0.773121,0.649982,0.587991 
[performance_estimation] ,12736,0.887454,0.944970,0.784496,0.657893,0.588342 
[performance_estimation] ,12800,0.889040,0.947723,0.802935,0.676524,0.588783 
[performance_estimation] ,12864,0.890499,0.953953,0.796928,0.676986,0.589222 
[performance_estimation] ,12928,0.891897,0.952505,0.840014,0.713622,0.589838 
[performance_estimation] ,12992,0.893687,0.959974,0.784467,0.673008,0.590248 
[performance_estimation] ,13056,0.895139,0.962902,0.813862,0.701492,0.590793 
[performance_estimation] ,13120,0.896592,0.966891,0.824991,0.715191,0.591400 
[performance_estimation] ,13184,0.897876,0.966242,0.857063,0.743558,0.592138 
[performance_estimation] ,13248,0.899081,0.966910,0.816481,0.709792,0.592707 
[performance_estimation] ,13312,0.900355,0.965721,0.813485,0.707318,0.593258 
[performance_estimation] ,13376,0.901804,0.967152,0.817726,0.713205,0.593832 
[performance_estimation] ,13440,0.903219,0.971876,0.801328,0.703419,0.594353 
[performance_estimation] ,13504,0.904548,0.971545,0.823225,0.723458,0.594965 
[performance_estimation] ,13568,0.906066,0.972078,0.770067,0.678250,0.595358 
[performance_estimation] ,13632,0.907190,0.974154,0.768099,0.678802,0.595750 
[performance_estimation] ,13696,0.908350,0.976551,0.774843,0.687324,0.596178 
[performance_estimation] ,13760,0.909866,0.973696,0.765334,0.678035,0.596559 
[performance_estimation] ,13824,0.911041,0.980552,0.746664,0.667013,0.596885 
[performance_estimation] ,13888,0.912464,0.979057,0.650044,0.580720,0.596810 
[performance_estimation] ,13952,0.913493,0.975469,0.735361,0.655269,0.597079 
[performance_estimation] ,14016,0.914137,0.973646,0.736505,0.655523,0.597345 
[performance_estimation] ,14080,0.915444,0.980434,0.596582,0.535452,0.597064 
[performance_estimation] ,14144,0.915998,0.982138,0.619854,0.557643,0.596886 
[performance_estimation] ,14208,0.916243,0.971248,0.650898,0.579234,0.596806 
[performance_estimation] ,14272,0.916633,0.952312,0.627380,0.547653,0.596586 
[performance_estimation] ,14336,0.917155,0.956529,0.557274,0.488888,0.596105 
[performance_estimation] ,14400,0.917068,0.935256,0.637641,0.546901,0.595886 
[performance_estimation] ,14464,0.917178,0.934029,0.593470,0.508409,0.595499 
[performance_estimation] ,14528,0.916960,0.951033,0.648134,0.565211,0.595366 
[performance_estimation] ,14592,0.917138,0.965383,0.645167,0.571224,0.595260 
[performance_estimation] ,14656,0.917245,0.980064,0.643662,0.578625,0.595187 
[performance_estimation] ,14720,0.917249,0.992568,0.602328,0.548378,0.594984 
[performance_estimation] ,14784,0.917301,0.994030,0.696531,0.635114,0.595158 
[performance_estimation] ,14848,0.917263,0.979836,0.655920,0.589520,0.595133 
[performance_estimation] ,14912,0.917344,0.965879,0.748647,0.663333,0.595426 
[performance_estimation] ,14976,0.917943,0.960245,0.826105,0.728171,0.595993 
[performance_estimation] ,15040,0.917913,0.938497,0.661463,0.569823,0.595882 
[performance_estimation] ,15104,0.918035,0.914319,0.662853,0.556384,0.595715 
[performance_estimation] ,15168,0.918018,0.897420,0.707906,0.583207,0.595662 
[performance_estimation] ,15232,0.917753,0.901707,0.696922,0.576734,0.595582 
[performance_estimation] ,15296,0.917776,0.904021,0.713435,0.591929,0.595567 
[performance_estimation] ,15360,0.917802,0.915398,0.734435,0.617039,0.595656 
[performance_estimation] ,15424,0.917862,0.924559,0.778751,0.660861,0.595927 
[performance_estimation] ,15488,0.917910,0.934173,0.805381,0.690603,0.596318 
[performance_estimation] ,15552,0.918046,0.944764,0.755015,0.654853,0.596559 
[performance_estimation] ,15616,0.917825,0.954761,0.822053,0.720368,0.597066 
[performance_estimation] ,15680,0.917548,0.971495,0.709093,0.632081,0.597209 
[performance_estimation] ,15744,0.917377,0.972942,0.781602,0.697622,0.597618 
[performance_estimation] ,15808,0.916202,0.971061,0.572847,0.509655,0.597261 
[performance_estimation] ,15872,0.914903,0.959471,0.577420,0.506873,0.596897 
[performance_estimation] ,15936,0.914420,0.950383,0.680452,0.591346,0.596875 
[performance_estimation] ,16000,0.913535,0.926185,0.664749,0.562446,0.596737 
[performance_estimation] ,16064,0.912446,0.877539,0.611098,0.489310,0.596309 
[performance_estimation] ,16128,0.911899,0.893183,0.691176,0.562958,0.596176 
[performance_estimation] ,16192,0.911565,0.908787,0.682217,0.565161,0.596054 
[performance_estimation] ,16256,0.911353,0.915463,0.655674,0.547036,0.595861 
[performance_estimation] ,16320,0.911621,0.913121,0.735622,0.612346,0.595926 
[performance_estimation] ,16384,0.911854,0.918586,0.759878,0.636486,0.596084 
[performance_estimation] ,16448,0.911704,0.897815,0.739993,0.605714,0.596121 
[performance_estimation] ,16512,0.911660,0.864901,0.641679,0.505961,0.595772 
[performance_estimation] ,16576,0.911620,0.857296,0.706691,0.552298,0.595604 
